BN,14.49,6.69,2.51,25.56,76,6.57,-1.8,2.517,0.3,15.77,8.8,6.874,2.7,2.516,0.2,15.15,4.6,6.839,2.2,2.507,-0.1
HfS2,16.13,5.837,3.635,24.67,53,5.811,-0.5,3.673,1,15.98,-0.9,5.972,2.3,3.687,1.4,14.52,-9.9,5.955,2,3.585,-1.3
HfSe2,17.09,6.159,3.748,25.36,48,6.192,0.5,3.8,1.4,16.58,-0.9,5.972,2.3,3.687,1.9,15.02,-12.1,6.203,0.7,3.689,-1.5
HfTe2,18.68,6.65,3.957,27.69,48,6.749,1.5,4.016,1.5,18.57,-0.5,6.921,4,4.037,2,18.92,1.3,6.584,-0.9,3.851,-2.6
MoS2,20.53,12.302,3.162,30.84,50,12.336,0.3,3.227,2,20.26,-1.2,12.625,2.6,3.241,2.4,21.05,2.5,12.397,0.7,3.14,-0.6
MoSe2,19.63,12.927,3.289,29.98,53,12.795,-1,3.348,1.8,19.69,0.3,13.365,3.3,3.387,2.9,18.57,-5.3,13.043,0.9,3.26,-0.8
MoTe2,20.8,13.973,3.518,30.13,45,14.212,1.7,3.609,2.6,20.21,-2.8,14.531,3.9,3.626,3,22.61,8.7,13.888,-0.6,3.474,-1.2
NbSe2,19.57,12.547,3.442,33.16,69,12.657,0.9,3.523,2.3,22.01,12,12.928,3,3.542,2.8,23.06,18,12.27,-2.2,3.415,-0.7
NbTe2,23.03,6.61,3.68,35.07,52,6.906,4.5,3.753,2,23.91,3.8,7.036,6.4,3.775,2.5,28.09,22,6.713,1.5,3.601,-2.1
PbO,20.25,4.995,3.964,27.56,36,5.008,0.2,4.076,2.8,18.64,-7.9,5.167,3.4,4.105,3.5,23.68,17,4.972,-0.4,3.991,0.6
PdTe2,40.17,5.113,4.024,44.3,10,5.284,3.3,4.148,3.1,31.4,-22,5.328,4.2,4.17,3.6,46.09,15,5.029,-1.6,4.028,0.6
PtS2,20.55,5.043,3.542,31.67,54,4.975,-1.4,3.642,2.8,19.71,-4,5.215,3.4,3.642,2.8,19.96,-2.8,4.691,-6.9,3.573,0.1
PtSe2,19.05,5.081,3.727,30.43,60,5.123,0.8,3.846,3.2,18.94,-0.5,5.291,4.1,3.852,3.3,23.44,23,4.82,-5.1,3.754,0.7
TaS2,17.68,5.897,3.364,31.38,78,5.925,0.5,3.418,1.6,20.63,17,6.082,3.1,3.432,1.9,19.23,8.7,5.946,0.8,3.305,-1.7
TaSe2,19.44,6.272,3.476,31.2,60,6.299,0.4,3.548,2,20.73,6.6,6.45,2.8,3.562,2.4,19.76,1.6,6.252,-5.1,3.754,-1.4
TiS2,18.88,5.705,3.409,29.21,55,5.685,-0.4,3.44,0.9,19.05,0.9,5.833,2.2,3.456,1.3,19.38,2.6,5.677,-0.4,3.338,-2
TiSe2,17.39,6.004,3.536,29.13,68,6.032,0.5,3.589,1.5,18.91,8.7,6.191,3.1,3.604,1.9,20.01,15,5.913,-1.5,3.465,-2
TiTe2,19.76,6.498,3.777,31.04,57,6.597,1.5,3.835,1.5,20.69,4.7,6.722,3.4,3.856,2.1,24.91,26,6.378,-1.8,3.685,-2.4
VS2,25.61,5.755,3.221,32.51,27,5.83,1.3,3.225,0.1,21.28,-17,5.959,3.5,3.244,0.7,21.55,-14,5.774,0.3,3.119,-3.1
VSe2,22.26,6.107,3.358,31.22,40,6.214,1.7,3.392,1,20.67,-7.1,6.37,4.3,3.404,1.3,21.55,-3.1,6.157,0.8,3.263,-2.8
WS2,20.24,12.323,3.153,31.15,54,12.415,0.7,3.225,2.2,20.54,1.4,12.712,3.1,3.237,2.6,18.35,-6.7,13.101,1.6,3.137,-0.4
WSe2,19.98,12.96,3.282,30.34,52,13.159,1.5,3.367,2.6,20.54,-0.1,13.456,3.8,3.381,3,18.62,-6.7,13.101,1,3.261,-0.6
ZrS2,16.98,5.813,3.662,24.91,47,5.81,-0.1,3.71,1.3,16.12,-5,5.963,2.5,3.725,1.7,16.74,-1.4,5.867,0.9,3.627,-0.9
ZrSe2,18.53,6.128,3.77,25.85,40,6.166,0.6,3.832,1.7,17.06,-7.9,6.308,2.9,3.853,2.2,17.58,-5.1,6.128,0,3.729,-1
ZrTe2,16.34,6.66,3.952,30.3,85,6.735,1.2,4.02,1.7,20.62,26,6.852,2.8,4.051,2.5,23.78,46,6.554,-1.5,3.848,-2.6
Graphite,18.32,6.696,2.456,27,48,6.684,-0.2,2.472,0.6,16.52,-9.8,6.983,4.2,2.473,0.7,17.2,-6.1,6.991,4.4,2.461,0.2
