label,scale,lattice,energy,B,structure,group,k_grid,default_initial_moment,lattice_pbe,occupation_type,charge_mix_param
Ag,1,4.069,-2.95,110.9,A1,TM,24,,,,
Al,1,4.032,-3.39,79.4,A1,MM,24,,,,
Au,1,4.065,-3.81,180.9,A1,TM,24,,,,
Ca,1,5.565,-1.84,18.4,A1,MM,18,,,,
Cu,1,3.603,-3.49,142.3,A1,TM,28,,,,
Ir,1,3.835,-6.94,383,A1,TM,26,,,,
Ni,1,3.513,-4.44,187.6,A1,TM,28,0.6,,,
Pb,1,4.905,-2.03,48.8,A1,MM,20,,,,
Pd,1,3.881,-3.89,195,A1,TM,26,,,,
Pt,1,3.916,-5.84,277,A1,TM,26,,,,
Rh,1,3.798,-5.75,268.7,A1,TM,26,,,,
Sr,1,6.048,-1.72,12.4,A1,MM,16,,,,
Th,1,5.074,-6.2,57.7,A1,TM,20,,,,
Ba,1,5.007,-1.9,9.3,A2,MM,24,,,0.1,
Fe,1,2.861,-4.28,173,A2,TM,38,2.4,,0.1,0.01
K,1,5.225,-0.93,3.7,A2,MM,22,,,0.1,
Li,1,3.477,-1.63,12.8,A2,MM,32,,,0.1,
Mo,1,3.144,-6.82,265.3,A2,TM,36,,,0.1,
Na,1,4.225,-1.11,7.5,A2,MM,28,,,0.1,
Nb,1,3.296,-7.57,174,A2,TM,34,,,0.1,
Rb,1,5.585,-0.85,3.1,A2,MM,22,,,0.1,
Ta,1,3.301,-8.09,194.2,A2,TM,34,,,0.1,
V,1,3.028,-5.31,157,A2,TM,36,,,0.1,
W,1,3.162,-8.9,314.2,A2,TM,36,,,0.1,
C,1,3.567,-7.37,443,A4,SC,48,,,,
Ge,1,5.652,-3.87,75.8,A4,SC,30,,,0.1,0.2
Si,1,5.43,-4.63,99.2,A4,SC,32,,,,
Sn,1,6.482,-3.14,53,A4,SC,26,,,0.1,0.2
HfC,1,4.638,-8.11,275,B1,TMCN,14,,,,0.5
HfN,1,4.519,-8.03,306,B1,TMCN,14,,,,0.2
LiCl,1,5.106,-3.55,35.4,B1,IC,14,,,,
LiF,1,4.01,-4.4,69.8,B1,IC,16,,,,
MgO,1,4.207,-5.12,168.8,B1,IC,16,,,,
MgS,1,5.202,-4,78.9,B1,IC,14,,,,
NaCl,1,5.595,-3.33,28.47,B1,IC,12,,,,
NaF,1,4.609,-3.93,51.4,B1,IC,14,,,,
NbC,1,4.47,-8.26,302,B1,TMCN,16,,,,0.5
NbN,1,4.379,-7.5,292,B1,TMCN,16,,,,0.2
TiC,1,4.33,-7.16,244,B1,TMCN,16,,,,
TiN,1,4.239,-6.69,289,B1,TMCN,16,,,,
VC,1,4.16,-6.94,303,B1,TMCN,16,,,,
VN,1,4.135,-6.25,268,B1,TMCN,16,,,,
ZrC,1,4.696,-7.93,226,B1,TMCN,14,,,,
ZrN,1,4.585,-7.52,215,B1,TMCN,14,,,,0.2
AlAs,1,5.652,-3.78,78.1,B3,SC,14,,,,
AlP,1,5.458,-4.26,86,B3,SC,14,,,,
AlSb,1,6.128,-3.3,59.3,B3,SC,12,,6.169,,
BAs,1,4.777,-4.7,148,B3,SC,16,,,,
BN,1,3.607,-6.6,378,B3,SC,20,,,,
BP,1,4.538,-5.04,173,B3,SC,16,,,,
CdS,1,5.818,-2.78,64.3,B3,SC,14,,,,
CdSe,1,6.05,-2.455,55,B3,SC,12,,,,
CdTe,1,6.48,-2.225,44.5,B3,SC,12,,,,
GaAs,1,5.641,-3.31,76.9,B3,SC,14,,5.661,,
GaN,1,4.52,-4.48,200,B3,SC,16,,,,
GaP,1,5.442,-3.56,88.7,B3,SC,14,,,,
GaSb,1,6.082,-3,56.3,B3,SC,12,,6.12,,
InAs,1,6.036,-3.05,58,B3,SC,12,,6.1,,
InP,1,5.861,-3.43,72.5,B3,SC,14,,5.9,,
InSb,1,6.469,-2.79,46.5,B3,SC,12,,6.533,,
SiC,1,4.358,-6.36,225,B3,SC,18,,,,
ZnS,1,5.404,-3.17,77.2,B3,SC,14,,,,
ZnSe,1,5.668,-2.63,64.7,B3,SC,14,,,,
ZnTe,1,6.104,-2.41,52.8,B3,SC,12,,,,
