label,scale,method,ene,delta,reldelta
2a,1,PBE+MBD(scs),-29.257665687662353,0.6423343123376455,0.02148275292099149
2a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-29.409559065022606,0.49044093497739283,0.016402706855431198
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-24.336300424085476,5.563699575914523,0.18607690889346232
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-23.769554050121947,6.130445949878052,0.2050316371196673
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-23.490990566120903,6.4090094338790955,0.21434814160130755
2a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-22.776111372752965,7.123888627247034,0.23825714472398107
2a,1,PBE,-0.5561566455745284,29.34384335442547,0.9813994432918218
2b,1,PBE+MBD(scs),-19.023070738602538,1.476929261397462,0.07204532982426644
2b,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-18.96314161232542,1.536858387674581,0.07496870183778444
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-15.579995751356504,4.920004248643496,0.24000020725090224
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-15.047727078948226,5.452272921051774,0.2659645327342329
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-14.971931938943154,5.528068061056846,0.26966185663691933
2b,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-14.340459863724336,6.159540136275664,0.30046537250125194
2b,1,PBE,1.7412661509459568,22.241266150945957,1.0849398122412661
3a,1,PBE+MBD(scs),-23.58342429576724,0.7165757042327598,0.029488712108344025
3a,1,"PBE+MBD(vvpol,corr,beta[0.8],17base,vv_py)",-25.14097134558468,-0.8409713455846806,-0.03460787430389632
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",-20.95664836268431,3.343351637315692,0.13758648713233299
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw_vol_scale[0.14285714285714285])",-20.631028564004087,3.668971435995914,0.15098647884756847
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-20.222289480626532,4.077710519373468,0.1678070172581674
3a,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw_vol_scale[0.14285714285714285])",-19.75441331727213,4.545586682727869,0.18706118035917155
3a,1,PBE,0.3799895552461328,24.679989555246134,1.0156374302570426
3b,1,PBE+MBD(scs),-18.811549642673995,1.5884503573260034,0.07786521359441194
