method,scale,N,MRE,MARE,MdRE,MdARE,SDRE,ME,MAE
PBE,1.0,66.0,0.572,0.5739,0.5488,0.5488,0.4566,2.1348,2.1473
PBE,2.0,65.0,0.4002,0.4002,0.2789,0.2789,0.3625,0.1306,0.1306
PBE,inf,527.0,0.6448,0.6465,0.4278,0.4278,1.494,1.5391,1.5498
"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",1.0,66.0,-0.1046,0.1121,-0.0668,0.07,0.1128,-0.3808,0.42
"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",2.0,65.0,-0.0951,0.0974,-0.0596,0.0634,0.0939,-0.0415,0.0422
"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",inf,527.0,-0.1002,0.1433,-0.0885,0.0996,0.1517,-0.2744,0.3836
PBE+MBD(scs),1.0,66.0,-0.031,0.0836,-0.0374,0.0724,0.0638,-0.1757,0.4033
PBE+MBD(scs),2.0,65.0,-0.0297,0.0374,-0.0271,0.0291,0.0291,-0.0228,0.0251
PBE+MBD(scs),inf,527.0,-0.0287,0.1,-0.0489,0.0688,0.2067,-0.1521,0.3185
"PBE+MBD(vvpol,beta[0.8],17base)",1.0,66.0,-0.1899,0.1902,-0.1555,0.1555,0.1508,-0.7805,0.7829
"PBE+MBD(vvpol,beta[0.8],17base)",2.0,65.0,-0.0849,0.0872,-0.0628,0.0628,0.0832,-0.0455,0.0464
"PBE+MBD(vvpol,beta[0.8],17base)",inf,527.0,-0.192,0.1952,-0.1449,0.1458,0.181,-0.585,0.5985
"PBE+MBD(vvpol,corr,beta[0.8],17base)",1.0,66.0,-0.0321,0.0877,-0.0402,0.0698,0.0708,-0.1769,0.4238
"PBE+MBD(vvpol,corr,beta[0.8],17base)",2.0,65.0,-0.0143,0.0344,-0.0112,0.0258,0.03,-0.0175,0.0243
"PBE+MBD(vvpol,corr,beta[0.8],17base)",inf,527.0,-0.026,0.1055,-0.0459,0.0689,0.2265,-0.1483,0.3347
"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",1.0,66.0,0.0041,0.0822,-0.0053,0.0711,0.0603,-0.0322,0.3962
"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",2.0,65.0,0.0206,0.0364,0.0159,0.0322,0.0295,-0.0056,0.0211
"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",inf,527.0,0.0192,0.1005,-0.0197,0.0601,0.2759,-0.0323,0.3118
"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",1.0,66.0,0.0006,0.0911,-0.0096,0.0794,0.0705,-0.0627,0.4451
"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",2.0,65.0,0.0133,0.0356,0.0111,0.0269,0.0271,-0.0101,0.023
"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",inf,527.0,0.012,0.1081,-0.0259,0.0641,0.2965,-0.0652,0.3422
