label,scale,method,ene,delta,reldelta
AcNH2 ... AcNH2,0.9,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-15.540583346853051,-0.6105833468530513,-0.04089640635318495
AcNH2 ... AcNH2,0.9,PBE+MBD(scs),-16.002240818263992,-1.0722408182639924,-0.07181787128358959
AcNH2 ... AcNH2,0.9,"PBE+MBD(vvpol,beta[0.8],17base)",-16.55325346218219,-1.6232534621821912,-0.10872427744020036
AcNH2 ... AcNH2,0.9,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-16.008813517432124,-1.078813517432124,-0.0722581056551992
AcNH2 ... AcNH2,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-15.757597479709407,-0.8275974797094072,-0.05543184726787724
AcNH2 ... AcNH2,0.9,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-15.986069064827928,-1.0560690648279287,-0.07073469958659938
AcNH2 ... AcNH2,0.9,PBE,-14.038808794226012,0.8911912057739872,0.059691306481847776
AcNH2 ... AcNH2,0.95,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-16.453847876488823,-0.4238478764888214,-0.02644091556386908
AcNH2 ... AcNH2,0.95,PBE+MBD(scs),-16.8775317237965,-0.8475317237965001,-0.05287159849011229
AcNH2 ... AcNH2,0.95,"PBE+MBD(vvpol,beta[0.8],17base)",-17.4155225109487,-1.3855225109487002,-0.08643309488139114
AcNH2 ... AcNH2,0.95,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-16.893286095557787,-0.8632860955577861,-0.05385440396492739
AcNH2 ... AcNH2,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.83],17base,param_a[8])",-16.67143211911745,-0.6414321191174501,-0.04001448029428884
AcNH2 ... AcNH2,0.95,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-16.871109209330598,-0.8411092093305967,-0.052470942565851324
AcNH2 ... AcNH2,0.95,PBE,-15.00748128897319,1.0225187110268106,0.06378781728177234
AcNH2 ... AcNH2,1.0,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-16.563646649876755,-0.3036466498767538,-0.01867445571197748
AcNH2 ... AcNH2,1.0,PBE+MBD(scs),-16.945312468169917,-0.685312468169915,-0.04214713826383241
AcNH2 ... AcNH2,1.0,"PBE+MBD(vvpol,beta[0.8],17base)",-17.46385895729278,-1.203858957292777,-0.07403806625416831
AcNH2 ... AcNH2,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-16.965938274425035,-0.7059382744250335,-0.043415638033519895
