group,label,fragment,i_atom,species,hirsh_ratios,vv_ratios,alpha_0_free,alpha_0_vv_free,alpha_0_hirsh,alpha_0_rsscs,alpha_0_vv,alpha_0_vv[nm],alpha_0_vvcorr,C6_vv,C6_vv_nm,Rvdw_free,Rvdw_17_free,Rvdw_hirsh,Rvdw_vv17,Rvdw_vvcorr17,group
D,Benzene ... AcOH,complex,1,C,0.81,0.68,12.0,11.96,9.76,8.81,8.19,8.11,8.21,30.72,30.56,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... AcOH,complex,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.22,1.74,2.19,2.19,3.1,3.1,2.63,2.8,2.7,D
D,Benzene ... AcOH,complex,3,C,0.81,0.69,12.0,11.96,9.75,8.81,8.22,8.1,8.25,30.7,30.53,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... AcOH,complex,4,H,0.61,0.39,4.5,5.78,2.74,2.16,2.24,2.22,1.75,2.19,2.18,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... AcOH,complex,5,C,0.81,0.69,12.0,11.96,9.76,8.81,8.22,8.11,8.25,30.75,30.57,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... AcOH,complex,6,H,0.61,0.39,4.5,5.78,2.74,2.16,2.25,2.23,1.75,2.2,2.2,3.1,3.1,2.63,2.81,2.71,D
D,Benzene ... AcOH,complex,7,C,0.81,0.69,12.0,11.96,9.77,8.82,8.2,8.12,8.22,30.78,30.62,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... AcOH,complex,8,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... AcOH,complex,9,C,0.81,0.68,12.0,11.96,9.77,8.82,8.17,8.12,8.2,30.78,30.62,3.59,3.57,3.35,3.37,3.38,D
D,Benzene ... AcOH,complex,10,H,0.61,0.39,4.5,5.78,2.75,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... AcOH,complex,11,C,0.81,0.68,12.0,11.96,9.77,8.82,8.18,8.11,8.21,30.77,30.6,3.59,3.57,3.35,3.38,3.38,D
D,Benzene ... AcOH,complex,12,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.74,2.2,2.2,3.1,3.1,2.63,2.8,2.71,D
D,Benzene ... AcOH,complex,13,C,0.82,0.58,12.0,11.96,9.89,10.39,6.97,6.8,6.99,22.8,22.71,3.59,3.57,3.37,3.3,3.3,D
D,Benzene ... AcOH,complex,14,O,0.97,1.1,5.4,5.36,5.21,4.35,5.91,5.88,5.95,21.68,21.67,3.19,3.18,3.15,3.22,3.23,D
D,Benzene ... AcOH,complex,15,O,0.88,1.03,5.4,5.36,4.76,4.32,5.54,5.53,5.58,19.82,19.81,3.19,3.18,3.06,3.19,3.2,D
D,Benzene ... AcOH,complex,16,H,0.63,0.29,4.5,5.78,2.84,2.32,1.68,1.66,1.31,1.26,1.25,3.1,3.1,2.66,2.69,2.6,D
D,Benzene ... AcOH,complex,17,C,0.76,0.63,12.0,11.96,9.07,10.02,7.59,7.5,7.61,28.22,28.2,3.59,3.57,3.27,3.34,3.34,D
D,Benzene ... AcOH,complex,18,H,0.6,0.37,4.5,5.78,2.69,1.76,2.16,2.14,1.69,2.07,2.06,3.1,3.1,2.61,2.79,2.69,D
D,Benzene ... AcOH,complex,19,H,0.6,0.43,4.5,5.78,2.68,1.86,2.48,2.14,1.93,2.11,2.06,3.1,3.1,2.61,2.85,2.75,D
D,Benzene ... AcOH,complex,20,H,0.59,0.37,4.5,5.78,2.67,1.83,2.15,2.15,1.67,2.08,2.08,3.1,3.1,2.6,2.79,2.69,D
D,Benzene ... AcOH,fragment-1,1,C,0.81,0.68,12.0,11.96,9.77,8.82,8.13,8.11,8.16,30.71,30.57,3.59,3.57,3.35,3.37,3.37,D
D,Benzene ... AcOH,fragment-1,2,H,0.61,0.39,4.5,5.78,2.74,2.16,2.23,2.23,1.73,2.2,2.2,3.1,3.1,2.63,2.8,2.7,D
