group,method,scale,N,MRE,MARE,MdRE,MdARE,SDRE,ME,MAE
IC,PBE,1.0,6.0,0.0436,0.0436,0.039,0.039,0.0229,0.1693,0.1693
IC,"PBE+MBD(rpa,scs)",1.0,3.0,-0.1123,0.1123,-0.042,0.042,0.1433,-0.4028,0.4028
IC,"PBE+MBD(rpa,vvpol,corr,beta[0.78],17base)",1.0,6.0,0.0054,0.0079,0.0042,0.0052,0.0078,0.0177,0.0297
IC,"PBE+MBD(rpa,vvpol[nm],beta[0.78],17base)",1.0,6.0,0.0183,0.0189,0.013,0.013,0.0159,0.0694,0.0724
IC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78])",1.0,6.0,0.0036,0.0113,-0.0005,0.0071,0.0132,0.0154,0.0462
IC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base)",1.0,6.0,0.0141,0.015,0.009,0.009,0.0139,0.0541,0.0583
IC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,6.0,0.0132,0.0145,0.0081,0.0081,0.0135,0.0505,0.0562
IC,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],vdw17)",1.0,6.0,0.0073,0.0105,0.0032,0.0061,0.0114,0.0271,0.0406
IC,PBE+MBD(scs),1.0,1.0,-0.0199,0.0199,-0.0199,0.0199,,-0.0797,0.0797
IC,"PBE+MBD(vvpol,corr,beta[0.78],17base)",1.0,6.0,0.0052,0.0077,0.0042,0.0051,0.0077,0.0169,0.0291
IC,"PBE+MBD(vvpol[nm],beta[0.78],17base)",1.0,6.0,0.0183,0.019,0.0131,0.0131,0.016,0.0696,0.0726
IC,"PBE+MBD(vvpol[nm],corr,beta[0.78])",1.0,6.0,0.0036,0.0115,-0.0006,0.0072,0.0132,0.0152,0.0471
IC,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",1.0,6.0,0.0141,0.0151,0.0091,0.0091,0.0139,0.0542,0.0584
IC,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,6.0,0.0132,0.0145,0.0082,0.0082,0.0136,0.0506,0.0563
IC,"PBE+MBD(vvpol[nm],corr,beta[0.78],vdw17)",1.0,6.0,0.0073,0.0106,0.0034,0.0062,0.0114,0.027,0.0412
MM,PBE,1.0,8.0,0.0153,0.033,0.0088,0.0351,0.0252,0.0066,0.0485
MM,"PBE+MBD(rpa,scs)",1.0,8.0,-2.2516,2.2516,-1.0361,1.0361,2.3117,-2.5416,2.5416
MM,"PBE+MBD(rpa,vvpol,corr,beta[0.78],17base)",1.0,8.0,-0.3018,0.3018,-0.2886,0.2886,0.1452,-0.4219,0.4219
MM,"PBE+MBD(rpa,vvpol[nm],beta[0.78],17base)",1.0,8.0,0.0052,0.0311,0.0059,0.035,0.0204,-0.0106,0.051
MM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78])",1.0,8.0,-0.0289,0.0304,-0.0234,0.0234,0.0246,-0.0548,0.0574
MM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base)",1.0,8.0,-0.0075,0.0269,0.0014,0.0257,0.0196,-0.0284,0.0505
MM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,8.0,-0.0074,0.0266,0.0013,0.0256,0.0196,-0.0282,0.0501
MM,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.78],vdw17)",1.0,8.0,-0.0377,0.0377,-0.0186,0.0186,0.0331,-0.0745,0.0745
MM,PBE+MBD(scs),1.0,0.0,,,,,,,
MM,"PBE+MBD(vvpol,corr,beta[0.78],17base)",1.0,1.0,-0.1152,0.1152,-0.1152,0.1152,,-0.3906,0.3906
MM,"PBE+MBD(vvpol[nm],beta[0.78],17base)",1.0,8.0,0.0052,0.0311,0.0058,0.035,0.0205,-0.0105,0.051
MM,"PBE+MBD(vvpol[nm],corr,beta[0.78])",1.0,8.0,-0.0288,0.0304,-0.024,0.024,0.0244,-0.0546,0.0574
MM,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base)",1.0,8.0,-0.0074,0.0267,0.0015,0.0255,0.0197,-0.0282,0.0503
MM,"PBE+MBD(vvpol[nm],corr,beta[0.78],17base,vdw[BG])",1.0,8.0,-0.0073,0.0265,0.0014,0.0254,0.0196,-0.0281,0.0499
MM,"PBE+MBD(vvpol[nm],corr,beta[0.78],vdw17)",1.0,8.0,-0.0375,0.0375,-0.0182,0.0182,0.0329,-0.0742,0.0742
SC,PBE,1.0,24.0,0.0321,0.0463,0.0278,0.0453,0.0354,0.0737,0.1601
SC,"PBE+MBD(rpa,scs)",1.0,24.0,-0.0415,0.0479,-0.0424,0.0424,0.0253,-0.1827,0.1987
SC,"PBE+MBD(rpa,vvpol,corr,beta[0.78],17base)",1.0,24.0,-0.0549,0.0549,-0.0517,0.0517,0.0289,-0.2168,0.2168
SC,"PBE+MBD(rpa,vvpol[nm],beta[0.78],17base)",1.0,24.0,-0.0261,0.0368,-0.0244,0.0295,0.0247,-0.128,0.1561
