label,scale,method,ene,delta,reldelta,group
Ag,1.0,"PBE+MBD(rpa,scs)",-3.0675058307151657,-0.11750583071516552,-0.039832484988191696,
Ag,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.4933471696754834,-0.5433471696754832,-0.1841854812459265,
Ag,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-2.64302542525367,0.3069745747463304,0.10405917788011199,
Ag,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-2.9361006259818168,0.013899374018183419,0.004711652209553701,
Ag,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-2.797962910695691,0.15203708930430926,0.051537996374342115,
Ag,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.7932670347757527,0.1567329652242475,0.0531298187200839,
Ag,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-2.8622502697847176,0.08774973021528254,0.029745671259417808,
Ag,1.0,PBE+MBD(scs),,,,
Ag,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Ag,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-2.6435214126341258,0.3064785873658744,0.10389104656470319,
Ag,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",,,,
Ag,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",,,,
Ag,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.8123169120037708,0.13768308799622941,0.04667223321906082,
Ag,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",,,,
Ag,1.0,PBE,-2.5239186643510836,0.4260813356489166,0.14443435106742936,
Al,1.0,"PBE+MBD(rpa,scs)",-4.03909367554384,-0.6490936755438397,-0.19147306063240108,
Al,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.725075335403874,-0.3350753354038738,-0.09884228183005127,
Al,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.477185046768969,-0.08718504676896899,-0.025718302881701766,
Al,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.479612206496792,-0.08961220649679191,-0.026434279202593485,
Al,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.47893765378162,-0.08893765378162,-0.02623529610077286,
Al,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.47893458819387,-0.08893458819386968,-0.026234391797601675,
Al,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.4963707842441187,-0.10637078424411861,-0.03137781246139192,
Al,1.0,PBE+MBD(scs),,,,
Al,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.7515354535611056,-0.3615354535611055,-0.10664762641920515,
Al,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.4772115234177186,-0.08721152341771843,-0.025726113102571807,
Al,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.4795747876637133,-0.08957478766371318,-0.026423241198735452,
Al,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.478903803028917,-0.08890380302891687,-0.026225310627999078,
Al,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.4789226688549064,-0.0889226688549063,-0.026230875768408934,
Al,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.4962452843410072,-0.1062452843410071,-0.03134079184100504,
Al,1.0,PBE,-3.472523489976114,-0.08252348997611403,-0.02434321238233452,
AlAs,1.0,"PBE+MBD(rpa,scs)",-3.9741170981540934,-0.19411709815409361,-0.051353729670395136,
AlAs,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.9628814912060335,-0.1828814912060337,-0.0483813468799031,
AlAs,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.9051621837028065,-0.12516218370280674,-0.03311168881026633,
AlAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.940855220292756,-0.16085522029275623,-0.04255429108273975,
AlAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.9352437734001477,-0.15524377340014794,-0.04106978132279046,
AlAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.942401360077463,-0.16240136007746298,-0.0429633227718156,
AlAs,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.946929976476485,-0.1669299764764851,-0.044161369438223574,
AlAs,1.0,PBE+MBD(scs),-3.9774013414311518,-0.19740134143115196,-0.05222257709818835,
AlAs,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.966411037677365,-0.18641103767736533,-0.049315089332636335,
AlAs,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.9054711187170548,-0.12547111871705496,-0.033193417650014545,
AlAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.9433880401070245,-0.16338804010702468,-0.04322434923466262,
AlAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.937578137283471,-0.15757813728347125,-0.04168733790568023,
AlAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.9444052376346175,-0.16440523763461767,-0.043493449109687214,
AlAs,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.9495900408014353,-0.16959004080143547,-0.044865090159109916,
AlAs,1.0,PBE,-3.7060209727861095,0.07397902721389027,0.019571171220605893,
AlP,1.0,"PBE+MBD(rpa,scs)",-4.3780726154331004,-0.11807261543310066,-0.027716576392746634,
AlP,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-4.352669849517423,-0.09266984951742341,-0.021753485802212067,
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-4.308412197712912,-0.04841219771291261,-0.011364365660308124,
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-4.335489011941981,-0.07548901194198088,-0.017720425338493166,
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-4.328070986946349,-0.06807098694634917,-0.015979104916983372,
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.330180176748048,-0.07018017674804788,-0.016474219893907956,
AlP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-4.342057137590326,-0.08205713759032651,-0.019262238870968666,
AlP,1.0,PBE+MBD(scs),-4.380838401605558,-0.12083840160555859,-0.02836582197313582,
AlP,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-4.356019738139101,-0.09601973813910103,-0.022539844633591793,
AlP,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-4.308494362949883,-0.048494362949883296,-0.011383653274620492,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-4.337943722579254,-0.07794372257925453,-0.018296648492782754,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-4.330316472680962,-0.07031647268096197,-0.016506214244357272,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-4.3318708679674875,-0.07187086796748776,-0.01687109576701591,
AlP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-4.3446731330538,-0.08467313305380042,-0.01987632231309869,
AlP,1.0,PBE,-4.109688477581986,0.15031152241801404,0.03528439493380611,
AlSb,1.0,"PBE+MBD(rpa,scs)",-3.5304133388539567,-0.23041333885395687,-0.06982222389513845,
AlSb,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-3.539773594386075,-0.23977359438607504,-0.0726586649654773,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-3.4627852880861325,-0.16278528808613268,-0.049328875177615965,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-3.51091918962374,-0.21091918962374034,-0.06391490594658798,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-3.500238853759135,-0.20023885375913508,-0.06067844053307124,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.5133814532417023,-0.21338145324170243,-0.06466104643687953,
AlSb,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-3.507483237390895,-0.20748323739089525,-0.0628737083002713,
AlSb,1.0,PBE+MBD(scs),-3.5326081750109175,-0.23260817501091768,-0.07048732576088415,
AlSb,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-3.545166408003122,-0.24516640800312217,-0.07429285091003703,
AlSb,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-3.4639707168593565,-0.1639707168593567,-0.049688096017986884,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-3.514903461857476,-0.21490346185747633,-0.06512226116893223,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-3.5040075374874613,-0.20400753748746148,-0.06182046590529136,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-3.516620596848977,-0.21662059684897716,-0.06564260510575066,
AlSb,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-3.5114314665948934,-0.21143146659489354,-0.06407014139239198,
