group,label,i_atom,species,hirsh_ratios,alpha_0_free,alpha_0_vvfree,alpha_0_hirsh,alpha_0_vv,alpha_0_vv2,alpha_0_vv_nm,alpha_0_vvcorr,alpha_0_vv_nmcorr,C6_free,C6_hirsh,C6_vvfree,C6_vv,C6_vv_nm,C6_vvcorr,C6_vv_nmcorr,Rvdw_free,Rvdw_17_free,Rvdw_hirsh,Rvdw_hirsh_17base,Rvdw_vv17,Rvdw_vvcorr17,group
IC,LiCl,1,Li,0.92,164.2,85.51,151.27,12.89,12.89,11.14,24.75,21.39,1387.0,1177.16,580.21,28.25,21.86,67.53,52.25,4.16,5.18,4.05,5.04,3.6,3.95,IC
IC,LiCl,2,Cl,0.96,15.0,14.11,14.36,22.78,22.78,20.48,24.22,21.78,94.6,86.69,97.02,156.76,137.97,152.84,134.52,3.71,3.68,3.66,3.63,3.91,3.94,IC
IC,LiF,1,Li,0.87,164.2,85.51,143.07,7.32,7.32,7.28,14.06,13.97,1387.0,1052.99,580.21,11.5,11.37,27.48,27.18,4.16,5.18,3.97,4.95,3.32,3.65,IC
IC,LiF,2,F,0.93,3.8,3.84,3.54,7.17,7.17,7.07,7.09,7.0,9.52,8.27,12.33,22.65,22.33,17.49,17.24,3.04,3.03,2.97,2.96,3.31,3.31,IC
IC,MgO,1,Mg,0.91,71.0,51.6,64.28,12.89,12.89,8.0,17.73,11.01,627.0,513.87,390.63,46.54,22.4,74.69,35.96,4.27,4.6,4.13,4.45,3.6,3.77,IC
IC,MgO,2,O,0.96,5.4,5.36,5.16,8.89,8.89,7.36,8.96,7.41,15.6,14.24,19.16,34.99,27.99,28.49,22.79,3.19,3.18,3.14,3.13,3.42,3.42,IC
IC,MgS,1,Mg,0.95,71.0,51.6,67.73,20.79,20.79,10.03,28.61,13.8,627.0,570.52,390.63,94.01,29.24,150.9,46.93,4.27,4.6,4.2,4.52,3.86,4.04,IC
IC,MgS,2,S,0.98,19.6,18.69,19.16,25.23,25.23,19.16,26.45,20.09,134.0,128.07,137.46,195.29,135.52,190.38,132.11,3.86,3.82,3.83,3.8,3.96,3.99,IC
IC,NaCl,1,Na,0.9,162.7,87.22,146.09,17.5,17.5,17.29,32.64,32.26,1556.0,1254.55,597.7,51.64,50.52,134.43,131.52,3.73,5.17,3.6,4.99,3.76,4.11,IC
IC,NaCl,2,Cl,0.96,15.0,14.11,14.41,22.75,22.75,22.37,24.19,23.78,94.6,87.3,97.02,154.97,151.85,151.1,148.05,3.71,3.68,3.66,3.63,3.91,3.94,IC
IC,NaF,1,Na,0.85,162.7,87.22,137.68,11.19,11.19,11.17,20.88,20.83,1556.0,1114.23,597.7,27.54,27.42,71.69,71.39,3.73,5.17,3.53,4.89,3.53,3.86,IC
IC,NaF,2,F,0.95,3.8,3.84,3.61,7.18,7.18,7.17,7.1,7.09,9.52,8.59,12.33,22.83,22.78,17.63,17.59,3.04,3.03,2.99,2.97,3.31,3.31,IC
MM,Al,1,Al,1.03,60.0,45.81,61.95,23.98,23.98,10.44,31.41,13.68,528.0,562.89,385.15,158.53,32.8,217.34,44.96,4.33,4.49,4.38,4.54,3.94,4.09,MM
MM,Ba,1,Ba,0.99,275.0,160.9,273.14,84.24,84.24,21.92,143.98,37.46,5727.0,5649.78,2540.7,1144.66,192.47,2580.17,433.84,4.77,5.58,4.76,5.56,4.71,5.08,MM
MM,Ca,1,Ca,1.01,160.0,99.96,161.24,58.8,58.8,11.57,94.12,18.53,2221.0,2255.55,1129.49,549.4,47.22,1080.34,92.85,4.65,5.16,4.66,5.18,4.47,4.79,MM
MM,K,1,K,1.03,292.9,146.91,302.96,90.86,90.86,14.5,181.14,28.9,3897.0,4169.3,1401.34,838.41,65.41,2331.55,181.89,3.71,5.63,3.75,5.69,4.76,5.25,MM
MM,Li,1,Li,1.01,164.2,85.51,165.98,30.21,30.21,7.4,58.01,14.21,1387.0,1417.15,580.21,124.03,8.22,296.51,19.64,4.16,5.18,4.17,5.2,4.07,4.47,MM
MM,Na,1,Na,1.03,162.7,87.22,168.15,50.32,50.32,5.87,93.87,10.96,1556.0,1662.09,597.7,293.04,9.54,762.89,24.82,3.73,5.17,3.77,5.23,4.38,4.78,MM
MM,Rb,1,Rb,1.03,319.2,154.78,330.21,109.08,109.08,18.51,224.95,38.18,4691.0,5020.24,1609.76,1181.36,116.96,3442.6,340.84,3.72,5.7,3.76,5.76,4.89,5.42,MM
MM,Sr,1,Sr,1.02,199.0,118.65,202.02,75.07,75.07,14.99,125.91,25.15,3170.0,3267.01,1532.01,854.18,87.34,1767.46,180.73,4.54,5.33,4.56,5.35,4.63,4.99,MM
SC,AlAs,1,Al,0.93,60.0,45.81,55.73,28.47,28.47,21.5,37.28,28.16,528.0,455.57,385.15,173.48,105.74,237.83,144.96,4.33,4.49,4.22,4.38,4.03,4.19,SC
SC,AlAs,2,As,0.96,29.0,28.4,27.76,30.39,30.39,26.66,31.03,27.22,246.0,225.48,242.5,253.68,212.58,257.34,215.64,4.11,4.04,4.05,3.99,4.07,4.08,SC
SC,AlP,1,Al,0.92,60.0,45.81,55.33,26.72,26.72,19.71,35.0,25.81,528.0,449.09,385.15,158.32,92.84,217.04,127.27,4.33,4.49,4.21,4.37,4.0,4.15,SC
SC,AlP,2,P,0.95,25.0,25.37,23.79,27.04,27.04,23.66,26.64,23.32,185.0,167.47,199.24,205.28,169.87,190.61,157.73,4.01,3.96,3.94,3.89,4.0,4.0,SC
SC,AlSb,1,Al,0.94,60.0,45.81,56.58,32.76,32.76,26.57,42.91,34.8,528.0,469.6,385.15,214.67,147.4,294.29,202.07,4.33,4.49,4.25,4.4,4.12,4.28,SC
SC,AlSb,2,Sb,0.97,43.67,39.33,42.15,42.22,42.22,37.39,46.88,41.52,459.32,427.9,427.63,444.38,378.21,477.31,406.24,4.28,4.29,4.23,4.24,4.27,4.33,SC
SC,BAs,1,B,0.93,21.0,19.16,19.63,13.62,13.62,12.72,14.93,13.94,99.5,86.95,100.6,58.47,52.27,57.84,51.7,3.89,3.86,3.8,3.78,3.63,3.68,SC
SC,BAs,2,As,0.94,29.0,28.4,27.2,23.05,23.05,21.28,23.54,21.73,246.0,216.41,242.5,174.42,157.03,176.94,159.3,4.11,4.04,4.02,3.96,3.91,3.93,SC
SC,BN,1,B,0.89,21.0,19.16,18.74,8.24,8.24,7.64,9.03,8.37,99.5,79.26,100.6,26.64,23.46,26.35,23.21,3.89,3.86,3.75,3.72,3.38,3.42,SC
SC,BN,2,N,0.91,7.4,7.81,6.76,7.75,7.75,7.46,7.35,7.07,24.2,20.19,31.44,30.15,28.63,23.2,22.04,3.34,3.33,3.24,3.23,3.35,3.32,SC
SC,BP,1,B,0.93,21.0,19.16,19.46,12.49,12.49,11.6,13.69,12.72,99.5,85.42,100.6,51.81,45.9,51.24,45.4,3.89,3.86,3.79,3.77,3.59,3.63,SC
SC,BP,2,P,0.93,25.0,25.37,23.26,20.01,20.01,18.45,19.72,18.18,185.0,160.08,199.24,134.24,119.6,124.65,111.05,4.01,3.96,3.91,3.87,3.84,3.83,SC
SC,C,1,C,0.91,12.0,11.96,10.88,7.87,7.87,7.71,7.9,7.73,46.6,38.3,54.89,28.97,28.17,24.59,23.91,3.59,3.57,3.47,3.45,3.36,3.36,SC
SC,C,2,C,0.91,12.0,11.96,10.88,7.87,7.87,7.71,7.9,7.73,46.6,38.3,54.89,28.97,28.17,24.59,23.91,3.59,3.57,3.47,3.45,3.36,3.36,SC
SC,CdS,1,Cd,0.96,39.7,25.94,37.96,27.79,27.79,26.52,42.54,40.6,452.0,413.29,213.27,208.24,191.58,441.34,406.05,3.99,4.23,3.93,4.17,4.02,4.27,SC
SC,CdS,2,S,1.0,19.6,18.69,19.52,25.38,25.38,24.68,26.61,25.88,134.0,132.9,137.46,189.45,180.54,184.69,176.0,3.86,3.82,3.85,3.82,3.97,4.0,SC
SC,CdSe,1,Cd,0.97,39.7,25.94,38.34,29.37,29.37,27.61,44.96,42.26,452.0,421.66,213.27,223.75,201.54,474.21,427.14,3.99,4.23,3.94,4.18,4.05,4.31,SC
SC,CdSe,2,Se,1.0,25.0,23.32,24.93,31.02,31.02,29.83,33.25,31.98,210.0,208.83,198.3,263.68,247.8,279.23,262.42,4.04,3.96,4.04,3.96,4.08,4.12,SC
SC,CdTe,1,Cd,0.98,39.7,25.94,38.87,31.41,31.41,29.02,48.09,44.43,452.0,433.21,213.27,245.99,216.17,521.36,458.15,3.99,4.23,3.96,4.2,4.09,4.35,SC
SC,CdTe,2,Te,1.0,37.65,34.11,37.65,43.52,43.52,41.42,48.04,45.72,396.0,396.01,377.5,471.89,437.84,495.01,459.29,4.22,4.2,4.22,4.2,4.29,4.35,SC
SC,GaAs,1,Ga,0.95,60.0,34.94,56.93,26.26,26.26,24.14,45.1,41.45,498.0,448.42,265.02,174.43,155.36,327.78,291.94,4.19,4.49,4.12,4.41,3.99,4.31,SC
SC,GaAs,2,As,0.96,29.0,28.4,27.95,29.71,29.71,27.62,30.33,28.2,246.0,228.53,242.5,242.4,220.9,245.89,224.08,4.11,4.04,4.06,4.0,4.06,4.07,SC
SC,GaN,1,Ga,0.92,60.0,34.94,55.08,18.3,18.3,15.56,31.43,26.73,498.0,419.61,265.02,105.68,84.64,198.59,159.05,4.19,4.49,4.07,4.36,3.79,4.09,SC
SC,GaN,2,N,0.96,7.4,7.81,7.12,10.33,10.33,9.65,9.78,9.14,24.2,22.42,31.44,44.21,40.71,34.02,31.33,3.34,3.33,3.3,3.29,3.49,3.46,SC
SC,GaP,1,Ga,0.94,60.0,34.94,56.66,24.51,24.51,22.72,42.09,39.01,498.0,444.1,265.02,159.95,144.01,300.56,270.6,4.19,4.49,4.11,4.4,3.95,4.27,SC
SC,GaP,2,P,0.96,25.0,25.37,24.0,26.11,26.11,24.53,25.73,24.17,185.0,170.43,199.24,193.46,177.94,179.64,165.22,4.01,3.96,3.96,3.91,3.98,3.98,SC
SC,GaSb,1,Ga,0.96,60.0,34.94,57.61,29.29,29.29,26.7,50.29,45.84,498.0,459.05,265.02,202.91,178.88,381.29,336.13,4.19,4.49,4.13,4.43,4.05,4.38,SC
SC,GaSb,2,Sb,0.97,43.67,39.33,42.25,40.98,40.98,37.28,45.51,41.4,459.32,429.91,427.63,421.37,373.33,452.6,401.0,4.28,4.29,4.23,4.24,4.25,4.31,SC
SC,Ge,1,Ge,0.95,41.0,33.68,39.0,28.61,28.61,26.19,34.83,31.88,354.0,320.35,280.41,215.1,191.85,271.55,242.19,4.2,4.25,4.13,4.18,4.04,4.15,SC
SC,Ge,2,Ge,0.95,41.0,33.68,39.0,28.61,28.61,26.19,34.83,31.88,354.0,320.35,280.41,215.1,191.85,271.55,242.19,4.2,4.25,4.13,4.18,4.04,4.15,SC
SC,InAs,1,In,0.95,70.22,41.77,66.94,35.14,35.14,31.76,59.07,53.4,707.05,642.46,390.73,298.59,260.12,540.3,470.69,4.23,4.59,4.16,4.52,4.16,4.48,SC
SC,InAs,2,As,0.98,29.0,28.4,28.31,32.23,32.23,30.12,32.92,30.76,246.0,234.48,242.5,269.19,246.46,273.08,250.01,4.11,4.04,4.08,4.01,4.11,4.12,SC
SC,InP,1,In,0.95,70.22,41.77,66.58,33.18,33.18,30.39,55.78,51.09,707.05,635.6,390.73,278.74,247.15,504.39,447.23,4.23,4.59,4.16,4.51,4.12,4.44,SC
SC,InP,2,P,0.97,25.0,25.37,24.36,28.51,28.51,26.98,28.09,26.59,185.0,175.62,199.24,217.95,202.31,202.38,187.86,4.01,3.96,3.98,3.93,4.03,4.03,SC
SC,InSb,1,In,0.96,70.22,41.77,67.62,38.15,38.15,34.66,64.14,58.27,707.05,655.62,390.73,333.5,292.59,603.48,529.44,4.23,4.59,4.18,4.53,4.21,4.53,SC
SC,InSb,2,Sb,0.98,43.67,39.33,42.67,43.76,43.76,40.54,48.59,45.02,459.32,438.48,427.63,457.19,414.06,491.07,444.74,4.28,4.29,4.24,4.25,4.29,4.35,SC
SC,Si,1,Si,0.94,37.0,34.83,34.79,27.22,27.22,24.04,28.92,25.54,305.0,269.66,288.98,191.07,156.98,201.67,165.68,4.2,4.19,4.11,4.1,4.01,4.04,SC
SC,Si,2,Si,0.94,37.0,34.83,34.79,27.22,27.22,24.04,28.92,25.54,305.0,269.66,288.98,191.07,156.98,201.67,165.68,4.2,4.19,4.11,4.1,4.01,4.04,SC
SC,SiC,1,Si,0.91,37.0,34.83,33.79,17.98,17.98,14.35,19.1,15.25,305.0,254.37,288.98,103.15,72.0,108.87,75.99,4.2,4.19,4.07,4.06,3.78,3.81,SC
SC,SiC,2,C,0.93,12.0,11.96,11.21,11.0,11.0,10.02,11.03,10.05,46.6,40.7,54.89,47.99,42.34,40.74,35.95,3.59,3.57,3.51,3.49,3.52,3.52,SC
SC,Sn,1,Sn,0.96,55.95,43.54,53.9,41.35,41.35,37.42,53.14,48.09,587.42,545.23,451.28,399.83,351.81,520.44,457.94,4.3,4.44,4.25,4.39,4.25,4.41,SC
SC,Sn,2,Sn,0.96,55.95,43.54,53.9,41.35,41.35,37.42,53.14,48.09,587.42,545.23,451.28,399.83,351.81,520.44,457.94,4.3,4.44,4.25,4.39,4.25,4.41,SC
SC,ZnS,1,Zn,0.95,40.0,22.11,38.19,21.03,21.03,19.77,38.05,35.78,284.0,258.83,138.87,118.46,106.69,242.26,218.19,4.02,4.23,3.96,4.17,3.86,4.2,SC
SC,ZnS,2,S,0.98,19.6,18.69,19.27,24.2,24.2,23.32,25.37,24.45,134.0,129.47,137.46,178.32,168.86,173.83,164.61,3.86,3.82,3.84,3.8,3.94,3.97,SC
SC,ZnSe,1,Zn,0.96,40.0,22.11,38.57,22.59,22.59,20.91,40.87,37.83,284.0,264.12,138.87,130.42,114.78,266.71,234.74,4.02,4.23,3.97,4.18,3.9,4.25,SC
SC,ZnSe,2,Se,0.99,25.0,23.32,24.67,29.75,29.75,28.28,31.89,30.31,210.0,204.42,198.3,250.97,233.5,265.78,247.27,4.04,3.96,4.02,3.94,4.06,4.1,SC
SC,ZnTe,1,Zn,0.98,40.0,22.11,39.16,24.51,24.51,22.25,44.35,40.25,284.0,272.19,138.87,147.3,126.01,301.24,257.69,4.02,4.23,3.99,4.2,3.95,4.3,SC
SC,ZnTe,2,Te,0.99,37.65,34.11,37.31,41.8,41.8,38.92,46.14,42.96,396.0,388.79,377.5,450.9,408.42,473.0,428.43,4.22,4.2,4.21,4.19,4.26,4.32,SC
TM,Ag,1,Ag,1.06,50.6,22.48,53.39,22.04,22.04,11.25,49.61,25.32,339.0,377.41,171.35,185.55,75.38,367.09,149.13,3.82,4.38,3.89,4.46,3.89,4.37,TM
TM,Au,1,Au,1.05,36.5,20.41,38.32,22.81,22.81,13.05,40.8,23.34,298.0,328.46,187.24,225.14,105.32,358.31,167.61,3.86,4.18,3.92,4.25,3.91,4.25,TM
TM,Cu,1,Cu,1.08,42.0,20.71,45.53,15.49,15.49,6.43,31.41,13.04,253.0,297.26,116.58,94.01,25.96,204.03,56.34,3.76,4.26,3.86,4.38,3.7,4.09,TM
TM,Fe,1,Fe,1.01,56.0,33.79,56.83,16.0,16.0,6.0,26.52,9.94,482.0,496.45,260.73,106.99,24.88,197.78,46.0,4.23,4.44,4.25,4.46,3.71,3.99,TM
TM,Ir,1,Ir,1.02,42.51,29.09,43.4,20.17,20.17,12.32,29.48,18.01,359.1,374.22,300.32,204.75,98.98,244.82,118.35,4.0,4.27,4.03,4.3,3.84,4.05,TM
TM,Mo,1,Mo,1.08,88.42,43.65,95.88,22.37,22.37,9.92,45.32,20.09,1028.73,1209.53,432.5,219.35,64.23,521.73,152.78,4.1,4.74,4.21,4.87,3.9,4.31,TM
TM,Nb,1,Nb,1.08,101.6,52.56,109.81,25.65,25.65,9.92,49.57,19.17,1263.61,1476.12,548.89,257.94,62.38,593.8,143.6,4.24,4.84,4.35,4.96,3.97,4.37,TM
TM,Ni,1,Ni,0.99,48.0,27.0,47.69,14.54,14.54,6.19,25.85,11.01,373.0,368.26,187.18,89.91,25.53,179.17,50.87,3.82,4.35,3.81,4.34,3.66,3.98,TM
TM,Pb,1,Pb,1.01,61.8,43.93,62.72,39.9,39.9,19.93,56.13,28.04,697.0,717.89,476.68,440.62,171.64,644.27,250.97,4.31,4.51,4.33,4.53,4.23,4.44,TM
TM,Pd,1,Pd,1.04,23.68,24.97,24.74,19.74,19.74,10.54,18.72,9.99,157.5,171.96,200.37,171.0,71.79,134.42,56.43,3.66,3.93,3.71,3.99,3.83,3.8,TM
TM,Pt,1,Pt,1.05,39.68,22.99,41.68,21.04,21.04,12.45,36.31,21.49,347.1,382.99,216.95,211.18,100.25,337.87,160.4,3.92,4.23,3.98,4.3,3.86,4.18,TM
TM,Rh,1,Rh,1.06,56.1,28.06,59.4,19.11,19.11,10.3,38.2,20.58,469.0,525.84,237.22,171.95,70.67,339.95,139.71,3.95,4.44,4.03,4.53,3.81,4.21,TM
TM,Ta,1,Ta,1.04,82.53,50.6,85.78,25.47,25.47,9.36,41.54,15.27,1019.92,1101.71,580.23,264.16,60.6,464.34,106.51,4.15,4.7,4.2,4.76,3.97,4.26,TM
TM,V,1,V,1.04,84.0,50.85,87.5,19.28,19.28,6.4,31.84,10.58,832.0,902.71,468.55,143.94,27.41,255.6,48.67,4.44,4.71,4.5,4.77,3.82,4.1,TM
TM,W,1,W,1.04,71.04,43.3,74.05,22.64,22.64,10.6,37.14,17.4,847.93,921.29,485.67,233.85,73.96,408.28,129.13,4.08,4.6,4.14,4.66,3.9,4.19,TM
TMCN,HfC,1,Hf,0.99,99.52,59.68,98.1,23.31,23.31,13.32,38.87,22.21,1274.8,1238.73,694.26,216.09,97.22,396.78,178.52,4.21,4.82,4.19,4.8,3.92,4.22,TMCN
TMCN,HfC,2,C,1.0,12.0,11.96,12.04,11.56,11.56,9.02,11.6,9.04,46.6,46.88,54.89,53.83,36.43,45.7,30.93,3.59,3.57,3.59,3.57,3.55,3.55,TMCN
TMCN,HfN,1,Hf,0.98,99.52,59.68,97.19,21.92,21.92,12.14,36.55,20.24,1274.8,1215.88,694.26,198.93,86.82,365.27,159.41,4.21,4.82,4.18,4.79,3.89,4.18,TMCN
TMCN,HfN,2,N,1.0,7.4,7.81,7.42,9.69,9.69,7.36,9.18,6.97,24.2,24.33,31.44,42.73,28.51,32.88,21.94,3.34,3.33,3.34,3.33,3.46,3.43,TMCN
TMCN,NbC,1,Nb,1.02,101.6,52.56,103.35,21.2,21.2,12.63,40.97,24.41,1263.61,1307.32,548.89,193.01,89.42,444.34,205.85,4.24,4.84,4.26,4.87,3.87,4.25,TMCN
TMCN,NbC,2,C,1.04,12.0,11.96,12.46,11.04,11.04,8.45,11.07,8.47,46.6,50.23,54.89,51.46,33.44,43.69,28.39,3.59,3.57,3.64,3.61,3.52,3.52,TMCN
TMCN,NbN,1,Nb,1.0,101.6,52.56,102.07,20.29,20.29,11.85,39.21,22.91,1263.61,1275.31,548.89,181.02,82.43,416.74,189.75,4.24,4.84,4.24,4.85,3.84,4.22,TMCN
TMCN,NbN,2,N,1.03,7.4,7.81,7.64,9.44,9.44,7.02,8.94,6.65,24.2,25.77,31.44,41.98,26.88,32.31,20.69,3.34,3.33,3.38,3.36,3.45,3.42,TMCN
