label,i_atom,group,vvpol,vvpol_nm
Ag,1,TM,22.03753928827985,11.245926992998173
Al,1,MM,23.9801718438082,10.444150382117263
AlAs,1,SC,28.46508131307196,21.501763222732556
AlAs,2,SC,30.38595368162117,26.657516221645977
AlP,1,SC,26.723038914569994,19.70646212327345
AlP,2,SC,27.036786411704604,23.661886559005136
AlSb,1,SC,32.76328479600067,26.571918290000923
AlSb,2,SC,42.21767932688782,37.38822482126821
Au,1,TM,22.808702706072946,13.04764564141774
BAs,1,SC,13.62188140242227,12.719222506938312
BAs,2,SC,23.049055337786022,21.2801924201677
BN,1,SC,8.238529361431588,7.639360581151163
BN,2,SC,7.7541115802556835,7.462474449950929
BP,1,SC,12.487928811199096,11.599080781444977
BP,2,SC,20.011803698513997,18.445233562442972
Ba,1,MM,84.23869931508509,21.917207825690763
C,1,SC,7.873535659211737,7.707933154423264
C,2,SC,7.8735356592117745,7.707933154423288
Ca,1,MM,58.80108669928702,11.57460896980123
CdS,1,SC,27.79063079093483,26.523022209128936
CdS,2,SC,25.37949921782022,24.67988862237
CdSe,1,SC,29.373606185810434,27.60686004406867
CdSe,2,SC,31.01788776484089,29.833518512218863
CdTe,1,SC,31.41450171711842,29.022670998497432
CdTe,2,SC,43.52224714622248,41.42321977946838
Cu,1,TM,15.489779689508843,6.428148127928935
Fe,1,TM,15.998727992673913,5.999286185038469
GaAs,1,SC,26.263390759260883,24.139191545684092
GaAs,2,SC,29.70595614685441,27.619694910103977
GaN,1,SC,18.303983792868983,15.56463653514296
GaN,2,SC,10.326480335803868,9.650102792683896
GaP,1,SC,24.511275949612312,22.719248325227184
GaP,2,SC,26.110875195168994,24.530202090551896
GaSb,1,SC,29.28879791708826,26.696378189039887
GaSb,2,SC,40.982006269521285,37.27564312261595
Ge,1,SC,28.611596287379136,26.191920598124458
Ge,2,SC,28.611596287379324,26.19192059812473
HfC,1,TMCN,23.309283571437025,13.320500240459666
HfC,2,TMCN,11.562349944794356,9.01641604872249
HfN,1,TMCN,21.92256738200264,12.139668075607844
HfN,2,TMCN,9.692544054504225,7.362209298599926
InAs,1,SC,35.139052103535576,31.764981434739468
InAs,2,SC,32.234195102934876,30.124433624203178
InP,1,SC,33.183013770349945,30.39307231258537
InP,2,SC,28.506609515607032,26.98082983959477
InSb,1,SC,38.15422739852481,34.66100994624909
InSb,2,SC,43.75797980886875,40.543521505782074
Ir,1,TM,20.169251634392307,12.322015307423122
K,1,MM,90.85505427297554,14.496145366210799
Li,1,MM,30.2082887913629,7.398796027102277
LiCl,1,IC,12.888676265841404,11.138727113785698
LiCl,2,IC,22.78211268422825,20.484290533332118
LiF,1,IC,7.322969847320217,7.275837570749894
LiF,2,IC,7.166296847418077,7.07266494081492
MgO,1,IC,12.888688224630524,7.99853011549779
MgO,2,IC,8.894987334122547,7.360676306046239
MgS,1,IC,20.790703768576744,10.02859520975283
MgS,2,IC,25.22845322277871,19.160758255810556
Mo,1,TM,22.369183077941138,9.915215685415903
Na,1,MM,50.322949227739194,5.873368385893141
NaCl,1,IC,17.500544806675254,17.292484736853
NaCl,2,IC,22.750329642889128,22.365559831033266
NaF,1,IC,11.193824712145954,11.169580058125801
NaF,2,IC,7.1824249755993925,7.170080807437129
Nb,1,TM,25.647069346140498,9.915558924394242
NbC,1,TMCN,21.19577162292871,12.630546018910964
NbC,2,TMCN,11.041067963692297,8.447663838358567
NbN,1,TMCN,20.286922582686426,11.85153382127521
NbN,2,TMCN,9.441860504584852,7.021581506586975
Ni,1,TM,14.53838137126362,6.192107641192408
Pb,1,TM,39.90011572333324,19.931031729801283
Pd,1,TM,19.739343589688918,10.537632725846338
Pt,1,TM,21.040241989956836,12.451620229484492
Rb,1,MM,109.07740525747961,18.513338140418757
Rh,1,TM,19.108410662749808,10.296287121870796
Si,1,SC,27.219885840348837,24.037014241743076
Si,2,SC,27.21988584034893,24.037014241743115
SiC,1,SC,17.98105026240718,14.353331422276629
SiC,2,SC,10.999111097258167,10.018697965577566
Sn,1,SC,41.34821744908115,37.41852207482237
Sn,2,SC,41.348217449081346,37.41852207482263
Sr,1,MM,75.07022782732228,14.993691869724849
Ta,1,TM,25.469302477796113,9.364534769406198
TiC,1,TMCN,17.279942370150405,10.461982359926296
TiC,2,TMCN,11.207307231914648,8.621887354675508
TiN,1,TMCN,16.386162686710293,9.271897234936393
TiN,2,TMCN,9.544628840938067,7.3218440931605135
V,1,TM,19.27538750118737,6.402457975411225
VC,1,TMCN,15.38586234289218,9.548249181003394
VC,2,TMCN,10.179317502896842,7.796153744811729
VN,1,TMCN,15.21205114587545,8.719322376901973
VN,2,TMCN,9.087523110196507,6.934040200453848
W,1,TM,22.64048178550757,10.604737509051105
ZnS,1,SC,21.0306609370901,19.77423937911136
ZnS,2,SC,24.198079838501926,23.31838658389015
ZnSe,1,SC,22.588635923160425,20.910751016384253
ZnSe,2,SC,29.74926912871717,28.275550206370454
ZnTe,1,SC,24.51263407676241,22.245690437366505
ZnTe,2,SC,41.80028166299267,38.921313449126316
ZrC,1,TMCN,24.629832262392128,14.109904113308108
ZrC,2,TMCN,12.049699490575852,9.323353785554954
ZrN,1,TMCN,23.31229553705139,13.152827235957671
ZrN,2,TMCN,10.095874752962628,7.647562556702145
