label,scale,method,ene,delta,reldelta
14-cyclohexanedione,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-26.507350408928346,-5.324499628928347,-0.2513589735502233
14-cyclohexanedione,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-24.657312036339757,-3.474461256339758,-0.16402236377080112
14-cyclohexanedione,1,PBE+MBD(scs),-21.45748768106219,-0.2746369010621912,-0.012965058570940432
14-cyclohexanedione,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-25.047110598885087,-3.8642598188850883,-0.18242397395036025
14-cyclohexanedione,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-22.890528535983137,-1.7076777559831378,-0.08061604992258449
14-cyclohexanedione,1,PBE,-2.970021727167011,18.212829052832987,0.8597912170551101
Acetic acid,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-19.31690833760498,-1.9122133385049764,-0.10986767298156372
Acetic acid,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-19.304811423196742,-1.9001164240967405,-0.10917263555580811
Acetic acid,1,PBE+MBD(scs),-18.36985819363158,-0.9651631945315771,-0.05545418604471298
Acetic acid,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-19.327474268586776,-1.9227792694867745,-0.11047474658913595
Acetic acid,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-18.585296412275103,-1.1806014131751006,-0.06783235289306418
Acetic acid,1,PBE,-10.007393099703663,7.397301899396339,0.4250176116145014
Adamantane,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-25.556063398938473,-8.969227378038475,-0.540743717893933
Adamantane,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-21.791184222705024,-5.2043482018050256,-0.31376376997079874
Adamantane,1,PBE+MBD(scs),-19.324803951395833,-2.7379679304958344,-0.16506872842089343
Adamantane,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-22.681975717180865,-6.095139696280867,-0.36746849661989645
Adamantane,1,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-19.717408864920067,-3.130572844020069,-0.1887383971286288
Adamantane,1,PBE,3.141913836719838,19.728749857619835,1.1894221316688074
Ammonia,1,"PBE+MBD(rpa,ord2,param_a[20.0],beta[0.96],damping[sqrtfermi,dip])",-10.487967447064241,-1.5928388683642414,-0.17906867273154478
Ammonia,1,"PBE+MBD(rpa,ord2,vvpol[nm],corr,beta[0.8],17base)",-11.055454859519045,-2.1603262808190458,-0.24286622297873203
Ammonia,1,PBE+MBD(scs),-10.268565321809147,-1.3734367431091474,-0.15440324790784213
Ammonia,1,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-11.049386635296395,-2.1542580565963956,-0.2421840266317134
