label,fragment,i_atom,species,hirsh_ratios,vv_ratios,alpha_0_free,alpha_0_vv_free,alpha_0_hirsh,alpha_0_rsscs,alpha_0_vv,alpha_0_vv[nm],alpha_0_vvcorr,Rvdw_free,Rvdw_17_free,Rvdw_hirsh,Rvdw_vv17,Rvdw_vvcorr17
14-cyclohexanedione,crystal,1,H,0.74,0.79,4.5,5.78,3.34,2.28,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,2,H,0.74,0.79,4.5,5.78,3.34,2.28,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,3,H,0.74,0.79,4.5,5.78,3.34,2.38,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,4,H,0.74,0.79,4.5,5.78,3.34,2.28,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,5,H,0.74,0.79,4.5,5.78,3.34,2.28,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,6,H,0.74,0.79,4.5,5.78,3.34,2.28,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,7,H,0.74,0.79,4.5,5.78,3.34,3.31,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,8,H,0.74,0.79,4.5,5.78,3.34,3.31,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,9,H,0.74,0.79,4.5,5.78,3.34,2.38,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,10,H,0.74,0.79,4.5,5.78,3.34,2.28,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,11,H,0.74,0.79,4.5,5.78,3.34,2.38,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,12,H,0.74,0.79,4.5,5.78,3.34,3.31,4.55,4.52,3.55,3.1,3.1,2.81,3.1,3.0
14-cyclohexanedione,crystal,13,C,0.84,0.75,12.0,11.96,10.1,10.1,8.99,8.94,9.02,3.59,3.57,3.39,3.42,3.42
14-cyclohexanedione,crystal,14,C,0.84,0.75,12.0,11.96,10.1,10.1,8.99,8.94,9.02,3.59,3.57,3.39,3.42,3.42
14-cyclohexanedione,crystal,15,C,0.84,0.75,12.0,11.96,10.1,10.01,8.99,8.94,9.02,3.59,3.57,3.39,3.42,3.42
14-cyclohexanedione,crystal,16,C,0.84,0.75,12.0,11.96,10.1,10.1,8.99,8.94,9.02,3.59,3.57,3.39,3.42,3.42
14-cyclohexanedione,crystal,17,C,0.84,0.75,12.0,11.96,10.1,10.01,8.99,8.94,9.02,3.59,3.57,3.39,3.42,3.42
14-cyclohexanedione,crystal,18,C,0.84,0.75,12.0,11.96,10.1,10.01,8.99,8.94,9.02,3.59,3.57,3.39,3.42,3.42
14-cyclohexanedione,crystal,19,N,0.89,1.05,7.4,7.81,6.59,6.81,8.23,8.14,7.79,3.34,3.33,3.21,3.38,3.35
14-cyclohexanedione,crystal,20,N,0.89,1.05,7.4,7.81,6.59,6.64,8.23,8.14,7.79,3.34,3.33,3.21,3.38,3.35
14-cyclohexanedione,crystal,21,N,0.89,1.05,7.4,7.81,6.59,6.64,8.23,8.14,7.79,3.34,3.33,3.21,3.38,3.35
